Sales,Month,AgeInMonths,ProfileInMonths,Subscribed,NumPrevOrders,AvgSpend,POSR,OPR,Online,Discount,ShippingOption,Shipping,Country,Platform,Payment,DayOfWeek,Ad_1,Ad_2,Ad_3,SocialMedia
668.39,May,423,30,Monthly,30,247.61,4.8,0.78,38,0,Standard,Paid,Belgium,Computer,Credit Card,Saturday,Yes,No,Yes,Instagram
843.56,October,402,27,Daily,27,322.36,6.6,0.51,33,17,Standard,Paid,South Africa,Computer,Credit Card,Saturday,Yes,Yes,No,Twitter
767.48,August,350,25,None,32,424.87,5.4,0.6,67,0,Standard,Paid,South Africa,iOS,Credit Card,Thursday,No,Yes,No,None
615.29,September,373,3,None,15,274.79,0.2,0.54,21,0,Premium,Paid,Brazil,Computer,Credit Card,Sunday,No,Yes,Yes,None
803.62,June,518,0,None,0,0,7.7,0,47,0,Standard,Paid,South Africa,Computer,Credit Card,Sunday,No,Yes,Yes,None
1360.77,July,542,0,None,0,0,5.7,0,67,8,Express,Paid,India,Computer,Credit Card,Saturday,No,Yes,No,None
477.49,December,385,25,None,25,326.09,6,0.58,28,0,Express,Paid,South Africa,Computer,Credit Card,Thursday,No,No,Yes,None
596.65,November,445,22,None,24,147.61,0.2,0.57,37,0,Premium,Paid,South Africa,Computer,EFT,Saturday,Yes,No,Yes,Instagram
635.97,July,391,25,None,32,254.91,7.7,0.76,53,0,Standard,Free,South Africa,Computer,Credit Card,Friday,Yes,Yes,No,Instagram
671.61,February,440,28,None,28,249.7,4.4,0.6,57,0,Premium,Paid,China,Computer,Credit Card,Friday,Yes,Yes,No,Instagram
550.77,May,412,43,None,52,336.7,5.1,0.65,50,0,Standard,Paid,Brazil,Computer,Credit Card,Saturday,No,No,Yes,None
637.73,August,515,37,None,34,198.25,7.7,0.94,56,5,Standard,Paid,England,Computer,EFT,Saturday,No,Yes,Yes,None
830.83,March,525,26,None,33,316.28,6.9,0.66,25,0,Premium,Paid,Egypt,Android,Credit Card,Friday,Yes,Yes,No,Instagram
589.75,January,396,44,Monthly,42,280.1,3.4,0.81,34,0,Premium,Paid,Netherlands,Computer,Credit Card,Saturday,No,No,Yes,None
697.67,September,463,0,None,0,0,6.5,0,68,0,Standard,Free,South Africa,Computer,EFT,Sunday,No,Yes,Yes,None
569.65,June,412,0,None,0,0,4.2,0,36,40,Standard,Paid,England,Computer,Credit Card,Sunday,No,Yes,Yes,None
499.54,July,435,47,Monthly,43,399.61,3.6,0.98,66,0,Express,Paid,South Africa,Computer,Credit Card,Thursday,Yes,Yes,No,Facebook
648.92,August,365,17,None,16,172.4,6.9,0.59,48,26,Express,Paid,England,Computer,EFT,Sunday,Yes,Yes,No,Facebook
1327.61,March,541,0,None,0,0,7,0,57,0,Express,Paid,South Africa,Computer,Credit Card,Saturday,No,Yes,No,None
614.9,April,515,26,None,21,185.8,4.2,0.85,44,0,Premium,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,Yes,Yes,Instagram
645.59,February,381,44,Daily,57,192.59,4.7,0.6,46,0,Premium,Paid,South Africa,Computer,EFT,Friday,No,Yes,No,None
550.18,April,451,54,Weekly,55,191.47,3.6,0.75,43,0,Premium,Paid,Germany,Computer,Credit Card,Tuesday,No,Yes,Yes,None
534.43,April,387,22,None,23,162.39,1.2,0.69,38,0,Express,Paid,India,Computer,Credit Card,Saturday,No,No,No,None
532.45,November,482,47,Weekly,41,328.02,1.6,0.6,56,0,Express,Free,South Africa,Computer,EFT,Sunday,No,No,Yes,None
726.66,August,347,10,Monthly,10,345.15,5.6,0.95,39,0,Premium,Paid,South Africa,Computer,Account Credit,Sunday,Yes,Yes,No,Instagram
847.47,May,351,29,Weekly,27,157.65,3.9,0.89,51,0,Premium,Free,South Africa,Computer,EFT,Friday,No,Yes,No,None
1047.5,May,563,25,None,30,173.89,7.3,0.78,46,37,Standard,Paid,Brazil,Computer,Credit Card,Saturday,No,Yes,No,None
690.32,November,437,13,None,20,169.71,7.9,0.59,44,0,Premium,Paid,South Africa,Computer,Credit Card,Thursday,No,Yes,Yes,None
489.2,December,506,1,None,7,257.9,0.7,0.87,33,0,Express,Paid,Belgium,Computer,Credit Card,Sunday,No,Yes,No,None
474.59,November,395,0,None,0,0,3.3,0,36,0,Premium,Paid,United States,Android,Credit Card,Sunday,No,No,Yes,None
701.85,February,440,42,Daily,48,154.42,6.4,0.59,32,0,Premium,Paid,South Africa,Android,EFT,Sunday,Yes,Yes,No,Instagram
511.01,March,400,17,None,11,266.95,4.4,0.91,43,0,Premium,Paid,South Africa,iOS,Credit Card,Wednesday,No,Yes,No,None
584.84,September,502,53,None,50,179.66,3.9,1,45,28,Standard,Paid,South Africa,Computer,Credit Card,Friday,No,Yes,No,None
742.39,May,355,34,None,32,350.71,2.1,0.75,46,0,Standard,Paid,Italy,iOS,Credit Card,Sunday,No,Yes,Yes,None
767.84,July,517,38,None,29,273.12,4.6,1,45,0,Standard,Paid,Netherlands,Android,Credit Card,Saturday,Yes,Yes,No,Facebook
522.12,August,455,0,None,0,0,0.5,0,58,0,Premium,Paid,South Africa,iOS,EFT,Thursday,No,No,Yes,None
435.78,July,414,23,None,35,216.51,6.5,0.81,72,0,Express,Paid,Germany,Computer,Credit Card,Sunday,Yes,No,No,Twitter
449.95,March,432,17,None,14,255.86,2.7,0.51,22,0,Premium,Paid,Italy,Computer,PayPal,Friday,No,No,Yes,None
484.45,June,407,44,None,40,230.27,7.1,0.99,29,0,Premium,Paid,Netherlands,Computer,Credit Card,Saturday,No,No,Yes,None
523.26,December,370,65,None,46,273.59,0.1,0.73,48,0,Express,Paid,Kenya,Computer,EFT,Monday,No,No,Yes,None
983.11,October,300,16,None,15,266.78,1.6,0.95,71,0,Standard,Paid,South Africa,iOS,EFT,Sunday,No,No,Yes,None
558.78,February,505,42,Weekly,39,212.97,1.4,0.97,42,0,Standard,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,No,No,Facebook
741.28,February,536,33,None,38,215.88,4.8,0.87,40,0,Premium,Paid,South Africa,iOS,EFT,Friday,Yes,No,No,Facebook
784.23,December,520,0,None,0,0,7.3,0,23,0,Express,Free,United States,Android,EFT,Monday,No,No,Yes,None
625.53,April,489,0,None,0,0,0.4,0,45,0,Express,Paid,England,Computer,EFT,Friday,No,No,No,None
454.48,May,499,17,None,8,367.67,3.3,0.7,61,0,Standard,Paid,South Africa,Computer,Credit Card,Monday,No,No,Yes,None
651.84,July,377,34,Weekly,28,424.59,3.6,0.53,34,0,Express,Paid,Kenya,Computer,Credit Card,Monday,Yes,No,Yes,Instagram
587,September,398,18,Weekly,8,168.41,3,0.84,41,0,Standard,Free,South Africa,Computer,EFT,Saturday,Yes,Yes,No,Instagram
583.64,September,543,35,Monthly,29,230.68,3.4,0.54,49,6,Standard,Paid,South Africa,iOS,Credit Card,Sunday,Yes,No,No,Facebook
509.91,January,443,55,None,59,276.7,7.4,0.85,73,0,Standard,Free,South Africa,Android,Credit Card,Saturday,No,Yes,Yes,None
553.68,May,425,12,None,9,269.5,5.9,0.52,59,12,Standard,Paid,South Africa,Computer,Account Credit,Friday,No,Yes,No,None
591.54,September,449,7,None,7,190.51,4.6,0.81,65,0,Premium,Paid,South Africa,Computer,Credit Card,Wednesday,No,Yes,Yes,None
872.72,July,415,51,Daily,48,370.84,6.2,0.55,33,17,Standard,Paid,South Africa,iOS,Account Credit,Friday,Yes,Yes,Yes,Instagram
663.95,January,517,36,Monthly,31,231.68,5.2,0.8,77,0,Express,Paid,Egypt,Computer,Account Credit,Saturday,No,Yes,Yes,None
543.74,December,506,6,None,14,158.93,1.3,0.94,31,0,Premium,Paid,England,Computer,Credit Card,Saturday,No,No,Yes,None
625.86,November,517,28,Monthly,30,402.62,5.4,0.56,67,0,Standard,Paid,Japan,Computer,Credit Card,Saturday,Yes,Yes,Yes,Facebook
778.68,August,379,30,None,28,276.61,5.3,0.7,32,0,Express,Paid,Germany,Computer,Credit Card,Saturday,No,Yes,No,None
1026.31,June,510,14,None,14,241.83,7.6,0.57,43,0,Premium,Free,South Africa,iOS,Account Credit,Monday,Yes,Yes,Yes,Instagram
706.68,May,565,16,None,8,449.76,6.7,0.74,88,0,Premium,Paid,Netherlands,Computer,Account Credit,Sunday,No,Yes,Yes,None
823.11,March,324,23,None,31,188.42,3.7,0.59,49,0,Premium,Paid,Italy,Computer,Credit Card,Sunday,No,No,Yes,None
726.65,January,507,25,Monthly,24,284.99,6,0.75,46,0,Premium,Paid,South Africa,Computer,Credit Card,Tuesday,Yes,Yes,Yes,Twitter
434.25,July,429,21,None,22,161.63,1.5,0.99,69,0,Standard,Paid,South Africa,Computer,Credit Card,Friday,Yes,No,Yes,Instagram
565.6,July,436,36,Monthly,29,227.6,3.2,0.93,45,0,Express,Free,South Africa,Computer,EFT,Friday,No,No,Yes,None
742.69,July,528,25,None,21,228.79,6.7,0.86,44,0,Standard,Free,Belgium,Computer,Credit Card,Sunday,Yes,Yes,No,Facebook
497.64,May,464,41,Weekly,43,240.19,1.6,0.7,36,0,Express,Paid,Ireland,Computer,Credit Card,Monday,No,No,Yes,None
753.16,May,477,34,None,24,295.39,6.8,0.68,43,0,Standard,Paid,England,Computer,Credit Card,Wednesday,No,Yes,No,None
1048.39,October,557,60,None,50,362.12,3.9,0.74,63,0,Premium,Paid,South Africa,Computer,EFT,Friday,Yes,No,No,Facebook
793.27,August,538,20,None,12,334.81,6,0.77,65,0,Premium,Paid,Germany,Computer,Credit Card,Friday,No,Yes,No,None
448.8,November,464,41,None,58,166.99,5.6,0.96,45,0,Express,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,No,No,Instagram
491.52,August,450,0,None,0,0,4.2,0,53,6,Standard,Free,South Africa,Computer,Credit Card,Saturday,No,Yes,Yes,None
1732.97,April,592,4,None,17,173.74,6.1,0.68,43,0,Express,Paid,Germany,iOS,EFT,Sunday,No,Yes,No,None
529.09,June,396,28,Monthly,18,206.49,5.5,0.53,62,25,Standard,Free,South Africa,Computer,Credit Card,Sunday,No,No,Yes,None
803.58,September,513,0,None,0,0,4.6,0,46,0,Express,Paid,Netherlands,iOS,Account Credit,Friday,No,Yes,Yes,None
457.5,February,397,36,Weekly,35,190.64,1.1,0.59,49,0,Standard,Paid,Egypt,Computer,Credit Card,Wednesday,No,No,Yes,None
570.16,April,440,9,Monthly,10,202.64,5.1,0.55,60,0,Premium,Paid,South Africa,iOS,EFT,Friday,Yes,No,Yes,Instagram
538.1,May,440,25,None,26,268.21,3.6,0.64,53,0,Standard,Paid,South Africa,Android,EFT,Sunday,No,No,Yes,None
490.56,June,455,11,None,12,258.43,0.4,0.72,60,0,Premium,Paid,South Africa,Computer,Credit Card,Friday,No,No,Yes,None
440.26,January,413,37,None,24,165.48,7.4,0.65,86,0,Premium,Paid,Belgium,Computer,Credit Card,Monday,No,No,No,None
578.42,February,497,22,None,33,369.96,7.3,0.61,30,0,Express,Paid,England,Computer,Credit Card,Tuesday,No,No,Yes,None
774.71,August,515,19,None,10,152.77,2.9,0.74,35,0,Express,Paid,India,Computer,Credit Card,Friday,No,Yes,Yes,None
520.21,January,488,9,None,9,450.86,2.8,0.98,43,0,Standard,Paid,South Africa,Android,Credit Card,Saturday,Yes,No,Yes,Twitter
583.19,November,390,49,None,50,365.46,5.7,0.5,49,0,Express,Paid,Japan,Computer,Credit Card,Tuesday,No,Yes,No,None
811.47,August,510,6,Daily,10,352.25,4.1,0.77,53,0,Premium,Paid,South Africa,Android,EFT,Thursday,Yes,Yes,No,Instagram
686.52,March,511,43,None,51,282.75,3.3,0.93,19,0,Premium,Free,Kenya,Computer,Credit Card,Saturday,Yes,No,Yes,Facebook
578.85,May,450,43,None,46,218.88,7.3,0.67,35,45,Standard,Paid,Brazil,Computer,Credit Card,Sunday,No,Yes,Yes,None
557.27,June,373,4,None,11,283.96,1.5,0.87,39,0,Standard,Free,South Africa,Android,Credit Card,Sunday,No,No,Yes,None
1046.89,January,564,28,None,29,348.26,1.9,0.63,69,0,Express,Paid,Netherlands,Computer,Credit Card,Sunday,No,No,Yes,None
2187.58,February,305,20,None,15,376.41,5.6,0.67,33,32,Express,Paid,Japan,Android,Credit Card,Sunday,Yes,Yes,Yes,Facebook
631.67,November,398,17,None,12,275.55,7.2,0.72,30,0,Premium,Paid,South Africa,Android,Credit Card,Friday,Yes,No,Yes,Instagram
570.73,February,492,67,Daily,50,529.62,5.2,0.57,88,0,Express,Paid,Egypt,Computer,Credit Card,Wednesday,Yes,No,No,Twitter
454.36,November,414,50,None,46,195.89,6.4,0.94,50,0,Express,Free,Italy,iOS,Credit Card,Tuesday,No,No,Yes,None
613.49,March,467,50,None,54,264.25,5.6,0.69,29,0,Express,Free,Italy,Computer,Credit Card,Saturday,Yes,Yes,No,Facebook
627.59,February,380,67,Daily,45,376.82,4.8,0.86,52,0,Express,Paid,United States,Computer,Credit Card,Monday,Yes,Yes,No,Instagram
904.17,August,315,27,None,27,285.16,5.8,0.63,48,0,Standard,Paid,Belgium,iOS,Credit Card,Saturday,Yes,No,Yes,Twitter
918.51,February,496,0,None,0,0,6.9,0,50,15,Express,Paid,Netherlands,Computer,Account Credit,Tuesday,No,Yes,Yes,None
479.71,December,506,37,None,33,290.44,6.9,0.52,47,40,Standard,Paid,South Africa,Computer,EFT,Friday,No,No,No,None
547.48,July,474,18,Weekly,13,361.03,2.5,0.55,37,24,Standard,Free,Kenya,Computer,Credit Card,Friday,Yes,No,Yes,Facebook
633.75,July,392,6,None,7,295.01,6.6,0.65,39,0,Express,Free,China,iOS,Credit Card,Saturday,No,Yes,No,None
419.72,December,472,12,None,9,169.67,1.3,0.73,74,0,Standard,Paid,Brazil,Computer,EFT,Wednesday,Yes,Yes,No,Instagram
686.67,January,371,58,None,52,299.31,7.9,0.55,65,0,Standard,Paid,Kenya,Computer,Credit Card,Thursday,No,Yes,No,None
496.97,May,439,48,None,57,379.39,4.7,0.71,29,0,Express,Paid,Germany,Computer,EFT,Saturday,No,Yes,No,None
540.99,April,389,43,None,49,209.5,0.3,0.95,42,0,Express,Paid,Germany,Computer,Credit Card,Monday,Yes,No,Yes,Instagram
677.94,March,357,14,None,9,212.13,5.7,0.88,54,0,Standard,Paid,Ireland,Computer,Credit Card,Tuesday,No,Yes,No,None
617.68,October,409,49,None,61,338.24,4.2,0.69,43,0,Premium,Paid,South Africa,Computer,Credit Card,Wednesday,Yes,Yes,Yes,Twitter
449.15,January,449,26,None,27,158.24,0.8,0.8,46,0,Premium,Paid,South Africa,Computer,Credit Card,Saturday,No,No,Yes,None
635.06,May,506,55,Daily,49,423.01,5.7,0.73,24,0,Express,Paid,South Africa,Android,Credit Card,Wednesday,Yes,No,No,Facebook
384.55,July,436,41,Daily,56,213.48,7.3,0.89,62,0,Express,Paid,South Africa,iOS,Credit Card,Saturday,No,No,Yes,None
975.64,December,314,30,None,27,135.53,1.5,0.79,66,0,Premium,Paid,South Africa,Computer,Credit Card,Sunday,Yes,No,Yes,Instagram
530.9,May,473,9,None,12,209.09,4.4,0.81,40,0,Express,Paid,Japan,Computer,Credit Card,Thursday,Yes,Yes,No,Facebook
605.35,September,406,45,None,41,179.21,3.9,0.6,32,0,Standard,Free,South Africa,iOS,EFT,Saturday,Yes,No,Yes,Twitter
944.87,May,527,0,None,0,0,5,0,36,10,Express,Paid,Belgium,Android,EFT,Sunday,No,Yes,Yes,None
662.7,April,331,17,None,12,338.78,1.8,0.9,45,0,Standard,Paid,Kenya,Computer,Credit Card,Sunday,Yes,No,No,Instagram
518.45,July,513,23,None,33,171.87,0.2,0.66,61,0,Standard,Free,China,Computer,Credit Card,Friday,Yes,No,Yes,Facebook
473.19,December,467,31,None,26,256.53,2.6,0.77,59,0,Standard,Paid,Brazil,Computer,Credit Card,Tuesday,Yes,No,Yes,Instagram
511.86,September,478,40,None,19,321.28,4.5,0.79,39,0,Premium,Paid,South Africa,Computer,Credit Card,Saturday,Yes,No,No,Instagram
565.25,November,399,55,Monthly,54,146.14,4.5,0.61,51,0,Standard,Free,India,Computer,Credit Card,Saturday,Yes,No,Yes,Facebook
628.36,May,361,15,None,9,234.57,0.1,0.82,25,0,Express,Paid,Egypt,iOS,EFT,Sunday,Yes,No,Yes,Instagram
646.85,January,490,0,None,0,0,5.7,0,71,0,Premium,Paid,South Africa,Computer,Credit Card,Sunday,No,Yes,No,None
451.98,January,425,68,Daily,48,365.09,4.4,0.79,78,0,Express,Paid,Japan,iOS,Credit Card,Sunday,Yes,Yes,No,Twitter
612.38,April,370,48,None,57,149.48,7.5,0.79,37,0,Standard,Free,South Africa,Computer,PayPal,Tuesday,No,Yes,Yes,None
634.74,April,365,35,None,22,148.87,5.6,0.54,89,0,Standard,Paid,Kenya,iOS,Credit Card,Saturday,Yes,Yes,No,Facebook
609.59,June,462,44,None,46,440.21,6,0.6,66,0,Express,Paid,Germany,Computer,Credit Card,Saturday,No,Yes,No,None
514.06,May,465,53,None,47,173.29,1.4,0.88,56,0,Premium,Paid,England,Computer,Credit Card,Thursday,Yes,No,Yes,Instagram
500.79,March,430,37,Monthly,28,258.43,3.1,0.86,60,0,Express,Paid,Ireland,Computer,EFT,Saturday,Yes,No,Yes,Instagram
612.91,March,529,10,Daily,10,216.33,4.7,0.62,24,43,Standard,Free,South Africa,iOS,Credit Card,Monday,Yes,No,Yes,Instagram
666.89,May,517,0,None,0,0,7,0,62,0,Standard,Paid,South Africa,Android,Credit Card,Tuesday,Yes,No,Yes,Facebook
720.41,August,533,0,None,0,0,7.1,0,22,25,Express,Paid,Germany,iOS,PayPal,Wednesday,No,No,No,None
535.16,September,488,85,None,48,162.97,0.7,0.51,39,0,Premium,Paid,China,Computer,Credit Card,Wednesday,Yes,No,No,Instagram
503.05,January,424,29,None,32,279.24,2.3,0.67,58,0,Premium,Paid,Germany,Computer,Credit Card,Sunday,Yes,No,Yes,Facebook
1850.5,September,576,15,Monthly,9,153.48,4.7,0.59,32,0,Standard,Paid,Belgium,Android,Credit Card,Wednesday,No,Yes,Yes,None
913.02,November,519,10,None,9,336.54,4.5,0.9,39,0,Express,Paid,India,Computer,Credit Card,Friday,No,Yes,No,None
823.44,October,351,26,None,30,147.93,6.3,0.64,55,0,Express,Paid,United States,Computer,Credit Card,Tuesday,No,Yes,No,None
704.84,July,352,22,None,26,209.78,5.6,0.52,31,0,Express,Paid,Ireland,Computer,Credit Card,Saturday,No,No,Yes,None
482.87,July,433,15,None,11,243.89,7.5,0.95,54,0,Express,Paid,United States,Computer,Credit Card,Friday,No,Yes,No,None
615.91,October,414,28,Daily,29,178.27,5.6,0.95,31,0,Standard,Paid,South Africa,Computer,PayPal,Friday,No,Yes,No,None
512.17,February,458,13,None,8,284.52,0.5,0.79,49,0,Standard,Free,South Africa,Android,Credit Card,Saturday,Yes,No,Yes,Instagram
766.86,August,363,41,Daily,48,256.91,7.1,0.96,40,0,Premium,Paid,South Africa,iOS,Credit Card,Friday,No,Yes,Yes,None
1107.82,April,553,25,None,32,344.08,6.1,0.72,56,0,Express,Paid,Ireland,Android,Credit Card,Saturday,No,Yes,Yes,None
582.34,July,481,13,None,14,280.63,5.3,0.57,36,34,Standard,Free,Netherlands,Computer,PayPal,Tuesday,No,Yes,No,None
480.78,July,463,28,Monthly,27,170.14,4.3,0.52,31,0,Express,Paid,Japan,iOS,Credit Card,Wednesday,No,Yes,No,None
1122.99,February,547,0,None,0,0,6,0,15,0,Express,Paid,India,iOS,Credit Card,Saturday,Yes,Yes,No,Facebook
503.05,March,415,4,None,8,511.59,5.4,0.54,24,0,Premium,Paid,Egypt,Computer,Credit Card,Saturday,No,No,No,None
649.62,June,466,11,None,9,212.96,6.5,0.63,47,0,Premium,Paid,South Africa,Computer,EFT,Sunday,No,Yes,Yes,None
708.96,January,491,33,Monthly,27,396.83,5.3,0.94,42,0,Express,Paid,China,Android,EFT,Saturday,No,Yes,No,None
1081.76,July,345,38,None,25,376.31,6,0.7,27,0,Premium,Paid,South Africa,Computer,Credit Card,Friday,No,Yes,No,None
441.65,May,436,22,None,33,157.26,3.2,0.84,65,0,Express,Paid,United States,Android,EFT,Friday,No,No,Yes,None
876.38,April,559,22,None,32,291.33,4.6,0.68,46,0,Express,Paid,Ireland,Computer,Credit Card,Thursday,No,Yes,No,None
516.71,December,479,34,Daily,31,217.83,5.8,0.66,60,0,Standard,Paid,South Africa,Computer,Credit Card,Sunday,Yes,No,No,Instagram
572.55,September,465,28,Monthly,26,241.14,5.2,0.56,73,0,Premium,Paid,England,Computer,Credit Card,Wednesday,No,Yes,Yes,None
713.56,February,412,0,None,0,0,3.6,0,28,0,Express,Paid,South Africa,Computer,Credit Card,Friday,No,No,Yes,None
558.14,February,411,46,None,51,256.28,7.3,0.68,62,0,Express,Paid,Ireland,Computer,Credit Card,Saturday,No,Yes,Yes,None
